Mouse_ID,Experiment,RIN,Genotype,Sex,Age_months,RLIMS.ID,Seq.Run.ID,Lane.Number,Clusters,BAM_file_name
1,X253249,CRND8 ,7.4,+,F,20,1426605043,141119_SN730_0369_AC5PVWACXX,4,708,253249.FCC5PVWACXX_L4_ICCGTCC.snap.bam
2,X253250,CRND8 ,7.7,-,F,20,1426605176,141120_SN725_0445_BC5PJFACXX,3,750,253250.FCC5PJFACXX_L3_IAGTCAA.snap.bam
3,X253290,CRND8 ,7.7,+,F,20,1428904702,141125_SN7001166_0306_AC44LLACXX,2,916,253290.FCC44LLACXX_L2_ICTTGTA.snap.bam
4,X253291,CRND8 ,8.2,-,F,20,1426605181,141120_SN725_0445_BC5PJFACXX,4,778,253291.FCC5PJFACXX_L4_IGTGAAA.snap.bam
5,X256516,CRND8 ,7.2,+,F,20,1428903586,141121_D00190_0224_BC447VACXX,1,938,256516.FCC447VACXX_L1_IACAGTG.snap.bam
6,X256517,CRND8 ,7.6,-,F,20,1426605192,141120_SN725_0445_BC5PJFACXX,8,775,256517.FCC5PJFACXX_L8_IGTCCGC.snap.bam
7,X253261,CRND8 ,6.9,+,F,20,1426605066,141119_SN730_0370_BC5NBHACXX,3,694,253261.FCC5NBHACXX_L3_IATGTCA.snap.bam
8,X253259,CRND8 ,7.4,-,F,20,1426605197,141121_D00190_0223_AC5PVPACXX,2,1050,253259.FCC5PVPACXX_L2_IGCCAAT.snap.bam
9,X253254,CRND8 ,7.3,+,M,20,1426605177,141120_SN725_0445_BC5PJFACXX,3,750,253254.FCC5PJFACXX_L3_IAGTTCC.snap.bam
10,X253293,CRND8 ,7.2,+,M,20,1426605070,141119_SN730_0370_BC5NBHACXX,5,680,253293.FCC5NBHACXX_L5_ICGATGT.snap.bam
11,X253294,CRND8 ,7.7,-,M,20,1428904387,141121_D00190_0224_BC447VACXX,6,935,253294.FCC447VACXX_L6_ICAGATC.snap.bam
12,X256520,CRND8 ,7.3,+,F,20,1426605059,141119_SN730_0370_BC5NBHACXX,1,778,256520.FCC5NBHACXX_L1_ITGACCA.snap.bam
13,X253276,CRND8 ,7.2,+,M,20,1426605171,141120_SN725_0445_BC5PJFACXX,1,801,253276.FCC5PJFACXX_L1_ITGACCA.snap.bam
14,X135969,CRND8 ,7.1,-,F,12 ,1426605184,141120_SN725_0445_BC5PJFACXX,5,807,135969.FCC5PJFACXX_L5_IACAGTG.snap.bam
15,X135970,CRND8 ,8,-,F,12 ,1426605080,141119_SN730_0370_BC5NBHACXX,8,737,135970.FCC5NBHACXX_L8_IGTCCGC.snap.bam
16,X135990,CRND8 ,7.5,-,F,12 ,1428904568,141121_D00190_0224_BC447VACXX,7,948,135990.FCC447VACXX_L7_IATGTCA.snap.bam
17,X169486,CRND8 ,7.8,+,M,6 ,1428904890,141125_SN7001166_0306_AC44LLACXX,5,916,169486.FCC44LLACXX_L5_ITGACCA.snap.bam
18,X169488,CRND8 ,7.6,-,M,6 ,1426605040,141119_SN730_0369_AC5PVWACXX,3,768,169488.FCC5PVWACXX_L3_IAGTCAA.snap.bam
19,X135994,CRND8 ,7.4,-,M,12 ,1426605178,141120_SN725_0445_BC5PJFACXX,3,750,135994.FCC5PJFACXX_L3_IATGTCA.snap.bam
20,X135995,CRND8 ,7.8,-,M,12 ,1426605061,141119_SN730_0370_BC5NBHACXX,2,792,135995.FCC5NBHACXX_L2_IGCCAAT.snap.bam
21,X135996,CRND8 ,7.4,-,M,12 ,1428904711,141125_SN7001166_0306_AC44LLACXX,3,881,135996.FCC44LLACXX_L3_IAGTCAA.snap.bam
22,X211481,CRND8 ,6.8,+,M,6 ,1426605039,141119_SN730_0369_AC5PVWACXX,2,804,211481.FCC5PVWACXX_L2_ICTTGTA.snap.bam
23,X209403,CRND8 ,6.9,+,M,6 ,1428903977,141121_D00190_0224_BC447VACXX,5,948,209403.FCC447VACXX_L5_ICGATGT.snap.bam
24,X209404,CRND8 ,7.5,+,M,6 ,1428904661,141125_SN7001166_0306_AC44LLACXX,2,916,209404.FCC44LLACXX_L2_IGCCAAT.snap.bam
25,X209412,CRND8 ,7.1,+,M,6 ,1426605047,141119_SN730_0369_AC5PVWACXX,5,769,209412.FCC5PVWACXX_L5_ITGACCA.snap.bam
26,X168780,CRND8 ,7.5,+,F,6 ,1426605069,141119_SN730_0370_BC5NBHACXX,4,751,168780.FCC5NBHACXX_L4_IGTGAAA.snap.bam
27,X171320,CRND8 ,7.2,+,F,6 ,1428903759,141121_D00190_0224_BC447VACXX,4,946,171320.FCC447VACXX_L4_ICCGTCC.snap.bam
28,NTG_5.1,CRND8 ,8.4,-,F,6 ,1426605065,141119_SN730_0370_BC5NBHACXX,3,694,NTG_5-1.FCC5NBHACXX_L3_IAGTTCC.snap.bam
29,NTG_5.2,CRND8 ,8.4,-,F,6 ,1428904757,141125_SN7001166_0306_AC44LLACXX,3,881,NTG_5-2.FCC44LLACXX_L3_IATGTCA.snap.bam
30,NTG_5.3,CRND8 ,8.6,-,F,6 ,1428904570,141121_D00190_0224_BC447VACXX,8,919,NTG_5-3.FCC447VACXX_L8_IGTCCGC.snap.bam
