1823480079_B	NA00-014
1796012297_B	NA00-129
1796012290_B	NA01-188
1823480082_B	NA03-006
1796012027_B	NA03-177
1796012054_A	NA04-064
1796012343_A	NA04-066
1796012327_B	NA04-119
1823480020_A	NA04-170
1796012321_A	NA99-006
1796012038_B	NA99-051
1823480007_A	NA99-153
1823480036_B	NA00-122
1811024586_B	NA03-098
1796012327_A	NA03-100
1796012340_B	NA99-103
1796012335_B	4808
1796012016_B	NA00-136
1823480056_B	NA00-175
1796012050_B	NA01-131
1823480080_A	NA02-093
1796012324_A	NA02-259
1796012271_A	NA03-009
1823480115_A	NA03-083
1796012022_A	NA03-253
1796012010_B	NA04-058
1796012280_B	NA04-061
1823480116_B	NA04-080
1796012100_A	NA04-132
1796012051_B	NA99-048
1796012030_B	NA99-058
1796012296_A	5255
1796012333_B	NA00-098
1794287289_B	NA00-275
1796012307_A	NA01-148
1823480026_A	NA01-154
1796012265_B	NA02-229
1796012306_B	NA02-230
1823480102_A	NA99-210
1796012059_A	5111
1796012320_B	5332
1796012304_B	NA01-153
1794287556_A	NA01-169
1796012298_A	NA02-219
1823480075_B	NA02-231
1785276561_B	NA02-253
1796012098_B	NA02-278
1796012260_A	NA03-093
1796012328_B	NA04-134
1794287300_B	NA04-168
1823480087_B	NA98-299
1796012329_B	NA99-185
1796012355_A	NA99-213
1796012099_B	NA02-030
1796012339_B	NA02-092
1823480114_B	NA02-130
1796012320_A	NA03-092
1823480069_A	NA04-060
1823480106_A	NA04-171
1823480078_B	NA98-040
1796012325_A	NA99-097
1823480070_B	NA99-166
1796012300_B	NA00-169
1823480112_A	NA03-087
1823480105_B	4088
1796012293_A	4095
1796012063_B	NA00-278
1823480102_B	NA01-078
1796012074_A	NA03-104
1823480099_A	NA03-279
1796012339_A	NA98-192
1796012074_B	NA99-021
1796012254_B	NA00-192
1796012051_A	NA01-081
1796012347_B	NA01-248
1823480009_B	NA02-137
1791596414_B	NA02-228
1796012359_B	NA03-176
1823480097_A	NA03-184
1794287289_A	NA03-188
1796012047_B	NA03-236
1796012085_A	NA04-075
1796012010_A	NA98-311
1796012040_B	NA99-169
1823480053_A	JA96-085
1796012297_A	NA00-004
1794287547_A	NA03-066
1823480036_A	NA03-193
1796012291_B	NA04-047
1823480114_A	NA04-095
1796012064_B	NA97-034
1823480016_B	NA98-035
1796012027_A	NA98-208
1796012033_B	NA99-183
1796012034_A	5215
1796012066_B	NA98-300
