1811024323_A	NA00-126
1811024368_B	NA00-153
1811024406_A	NA00-171
1811024535_B	NA01-042
1811024562_B	NA01-058
1811024530_A	NA01-132
1811024543_B	NA01-150
1811024507_A	NA01-158
1811024399_B	NA01-207
1811024541_A	NA01-234
1811024544_B	NA02-034
1811024596_A	NA02-062
1827270177_A	NA02-088
1811024549_B	NA02-113
1811024548_B	NA02-213
1827270184_A	NA03-067
1811024313_B	NA03-257
1828942078_B	NA03-271
1827270240_A	NA03-290
1811024530_B	NA04-011
1827270146_A	NA04-081
1811024323_B	NA04-102
1811024572_B	NA99-112
1811024399_A	NA00-141
1811024587_B	NA00-173
1823480117_A	NA00-180
1811024395_B	NA00-205
1811024312_A	NA00-206
1811024433_A	NA00-208
1811024435_A	NA00-224
1811024388_B	NA01-096
1811024465_A	NA01-191
1811024523_A	NA02-010
1811024583_B	NA02-080
1811024510_B	NA02-123
1811024571_A	NA02-153
1827270129_A	NA03-001
1811024598_B	NA03-026
1811024514_B	NA03-191
1827270117_B	NA03-203
1827270118_B	NA04-020
1811024546_A	NA04-149
1811024542_B	NA04-178
1811024529_A	NA99-055
1811024505_A	NA99-216
1811024493_A	NA00-019
1811024488_B	NA00-091
1828942076_B	NA00-125
1828942060_B	NA01-030
1811024531_B	NA01-072
1827270129_B	NA01-080
1811024534_A	NA01-089
1811024586_A	NA01-144
1827270147_A	NA02-032
1828942060_A	NA02-035
1811024525_A	NA02-071
1811024500_A	NA02-135
1811024525_B	NA02-199
1811024505_B	NA02-207
1811024533_A	NA02-208
1811024559_B	NA03-197
1811024508_B	NA03-210
1811024564_B	NA04-036
1811024549_A	NA04-037
1811024507_B	NA04-056
1827270083_A	NA04-072
1811024588_B	NA04-138
1811024560_A	NA99-140
1811024364_B	NA99-196
1827270146_B	5429
1811024463_B	5541
1811024587_A	NA00-029
1811024396_A	NA00-103
1811024583_A	NA00-213
1811024503_B	NA00-215
1811024364_A	NA00-220
1827270385_A	NA00-276
1811024514_A	NA01-016
1827270333_B	NA01-235
1811024585_A	NA02-085
1811024599_A	NA02-214
1828942035_B	NA03-091
1827270176_A	NA03-127
1811024584_A	NA03-154
1827270176_B	NA03-159
1811024570_B	NA03-226
1811024553_B	NA03-276
1811024591_A	NA03-291
1811024465_B	NA04-129
1811024577_B	NA99-017
1811024585_B	NA99-171
1828942078_A	NA99-227
1811024561_B	NA00-002
1811024502_B	NA00-164
1811024560_B	NA03-008
1811024331_B	NA99-042
