08-004	11456_TCX
NA08-021	11494_TCX
NA09-114	11249_TCX
NA06-236	11443_TCX
NA08-017	11499_TCX
NA02-115	6952_TCX
NA02-120	7000_TCX
NA09-113	11497_TCX
NA07-145	11503_TCX
NA08-370	11506_TCX
NA02-202	6925_TCX
NA08-166	11275_TCX
NA02-150	6863_TCX
NA03-178	7015_TCX
NA04-235	11276_TCX
NA07-048	11307_TCX
NA06-245	11355_TCX
NA07-040	11404_TCX
NA08-159	11489_TCX
NA08-328	11493_TCX
NA03-295	6880_TCX
NA02-134	6913_TCX
NA07-032	11357_TCX
NA05-094	11381_TCX
NA00-187	6819_TCX
NA03-004	6914_TCX
NA06-221	11358_TCX
NA06-018	11452_TCX
NA06-260	11285_TCX
NA07-139	11445_TCX
NA07-312	11507_TCX
NA02-081	6929_TCX
NA03-050	6976_TCX
NA05-426	11259_TCX
NA07-001	11403_TCX
NA04-313	11410_TCX
NA04-303	11412_TCX
NA08-131	11505_TCX
NA07-298	11377_TCX
NA05-226	11498_TCX
NA08-026	11502_TCX
NA00-108	6810_TCX
NA03-138	6872_TCX
NA04-228	11295_TCX
NA07-067	11449_TCX
NA04-236	11491_TCX
NA00-204	6821_TCX
NA03-025	6870_TCX
NA07-073	11306_TCX
NA07-164	11457_TCX
NA08-023	11492_TCX
NA07-009	11253_TCX
NA06-195	11271_TCX
NA08-129	11349_TCX
NA08-085	11303_TCX
NA05-224	11448_TCX
NA05-054	11267_TCX
NA07-043	11298_TCX
NA04-314	11300_TCX
NA04-304	11440_TCX
NA08-225	11447_TCX
NA08-201	11500_TCX
NA99-128	6894_TCX
NA02-250	11255_TCX
NA08-167	11353_TCX
NA09-030	11371_TCX
NA05-003	11372_TCX
NA06-100	11281_TCX
NA08-081	11309_TCX
NA08-219	11438_TCX
NA05-115	11460_TCX
NA06-082	11279_TCX
NA08-226	11254_TCX
NA06-033	11305_TCX
NA08-162	11366_TCX
NA05-233	11495_TCX
NA08-188	11258_TCX
NA08-091	11287_TCX
NA05-411	11374_TCX
NA06-062	11383_TCX
NA05-279	11402_TCX
NA08-028	11370_TCX
NA03-186	7016_TCX
NA07-179	11408_TCX
00-03	11344_TCX
95-36	11346_TCX
94-30	11433_TCX
10-42	11486_TCX
07-10	11345_TCX
13-55	11425_TCX
03-41	11424_TCX
12-21	11291_TCX
04-26	11313_TCX
01-51	11327_TCX
08-72	11329_TCX
07-58	11333_TCX
05-18	11328_TCX
06-15	11331_TCX
02-24	11480_TCX
03-39	11426_TCX
02-38	11471_TCX
03-58	11312_TCX
06-19	11423_TCX
06-08	11427_TCX
99-47	11481_TCX
97-51	11482_TCX
04-38	11290_TCX
00-32	11316_TCX
12-44	11330_TCX
02-04	11334_TCX
10-10	11464_TCX
98-37	11483_TCX
97-03	11338_TCX
99-25	11264_TCX
NA05-063	1930_TCX
NA05-327	1933_TCX
NA09-259	1944_TCX
NA99-013	1960_TCX
NA07-259	1940_TCX
NA05-005	1929_TCX
NA05-098	1931_TCX
NA99-163	1963_TCX
NA98-350	1959_TCX
NA98-262	1952_TCX
NA99-202	1964_TCX
4359	7095_TCX
4860	7098_TCX
NA02-246	1924_TCX
NA09-421	1945_TCX
NA98-324	1956_TCX
5371	7099_TCX
NA02-161	1923_TCX
NA04-114	1925_TCX
NA06-277	1936_TCX
NA08-075	1941_TCX
NA04-127	1926_TCX
NA06-110	1935_TCX
NA09-087	1943_TCX
NA00-082	1919_TCX
NA08-251	1942_TCX
NA98-268	1955_TCX
NA07-006	1937_TCX
NA98-176	1950_TCX
NA98-222	1951_TCX
NA05-220	1932_TCX
50100518	11364_DLPFCTX
10315029	11362_DLPFCTX
36492755	11246_DLPFCTX
20270920	11245_DLPFCTX
11615242	11363_DLPFCTX
09-20	11323_TCX
10-26	11322_TCX
07-46	11340_TCX
03-66	11319_TCX
07-37	11430_TCX
01-37	11289_TCX
06-05	11314_TCX
11-71	11321_TCX
98-19	11325_TCX
99-54	11311_TCX
00-49	11341_TCX
07-28	11391_TCX
97-46	11472_TCX
00-34	11431_TCX
08-23	11485_TCX
09-45	11337_TCX
04-19	11416_TCX
97-37	11400_TCX
98-32	11474_TCX
04-05	11288_TCX
98-33	11294_TCX
05-16	11465_TCX
05-36	11476_TCX
97-02	11388_TCX
08-90	11469_TCX
03-15	11417_TCX
09-34	11463_TCX
11-28	11317_TCX
97-45	11399_TCX
10-63	11429_TCX
99-59	11396_TCX
07-73	11266_TCX
08-40	11385_TCX
97-14	11389_TCX
13-49	11293_TCX
09-56	11397_TCX
10-70	11398_TCX
12-70	11468_TCX
13-40	11428_TCX
04-08	11470_TCX
08-55	11393_TCX
08-64	11320_TCX
98-23	11395_TCX
08-88	11386_TCX
98-27	11422_TCX
10-20	11394_TCX
10-22	11265_TCX
11-98	11263_TCX
09-50	11387_TCX
NA11-099	1005_TCX
NA11-003	1036_TCX
NA11-101	1105_TCX
NA03-163	828_TCX
NA10-420	871_TCX
NA09-189	1058_TCX
NA09-276	1172_TCX
NA10-039	1271_TCX
NA10-381	731_TCX
NA04-227	850_TCX
NA98-258	981_TCX
NA10-288	1045_TCX
NA10-290	1098_TCX
NA10-037	1169_TCX
NA11-384	149_TCX
NA10-292	742_TCX
NA00-264	859_TCX
NA10-050	1052_TCX
NA10-012	813_TCX
NA10-010	976_TCX
NA09-140	129_TCX
NA10-117	142_TCX
NA10-067	791_TCX
NA10-025	1203_TCX
NA01-217	1275_TCX
NA09-309	786_TCX
NA10-429	1034_TCX
NA09-144	777_TCX
NA09-420	783_TCX
NA10-073	843_TCX
NA09-195	851_TCX
NA09-065	894_TCX
NA09-411	991_TCX
NA09-050	1239_TCX
NA09-278	736_TCX
NA11-379	1019_TCX
NA99-204	1047_TCX
NA11-215	1302_TCX
NA10-143	766_TCX
NA10-111	787_TCX
NA09-380	797_TCX
NA09-370	1078_TCX
NA11-459	732_TCX
NA09-089	892_TCX
NA09-191	1166_TCX
NA10-110	952_TCX
NA98-327	1123_TCX
NA09-130	1129_TCX
NA09-307	134_TCX
NA05-007	816_TCX
NA10-089	948_TCX
NA09-305	1085_TCX
NA10-064	1114_TCX
NA11-061	1137_TCX
NA04-201	1183_TCX
NA09-360	135_TCX
NA10-236	933_TCX
NA10-112	896_TCX
NA01-233	1214_TCX
NA09-027	127_TCX
NA11-387	966_TCX
NA09-311	812_TCX
NA10-072	834_TCX
NA10-113	141_TCX
NA10-116	946_TCX
NA09-044	1015_TCX
NA10-378	1089_TCX
NA11-119	746_TCX
NA11-224	1103_TCX
NA09-154	1200_TCX
NA10-297	775_TCX
NA10-080	886_TCX
NA10-412	744_TCX
NA11-105	844_TCX
NA10-008	1046_TCX
NA09-245	132_TCX
NA12-016	1119_TCX
NA09-308	1029_TCX
NA10-093	962_TCX
NA09-133	1121_TCX
NA04-258	1195_TCX
NA10-156	751_TCX
NA10-396	1010_TCX
NA07-175	1104_TCX
11444465	11444465
05689621	05689621
50104008	50104008
20177982	20177982
10249336	10249336
