logFC logCPM LR PValue FDR Gene_Name Mean_count Count_Std_Dev Count_Kurtosis
ENSMUSG00000061808 -5.79198337300341 7.34640435618453 32.2121419231823 1.38224252873517e-08 4.33056584252729e-05 Ttr 5398.29166666667 18115.9527572396 8.73280606107021
ENSMUSG00000042109 -0.931021725851657 7.85768971571879 17.6709909756194 2.62601099869861e-05 0.0411364622946138 Csdc2 6600.41666666667 4309.97416431949 8.7330961695649
ENSMUSG00000013275 0.421627818344035 7.70702883393211 15.5718697385705 7.94275367190984e-05 0.0829488241803118 Slc41a1 5820.83333333333 1010.04682055346 -1.02796981512734
ENSMUSG00000079037 0.794875906543426 10.9426418390922 13.5632880445859 0.000230652690712799 0.180658720000799 Prnp 54713.875 20018.2105166282 -0.944163551886518
ENSMUSG00000004187 -0.297929960726578 7.84712910290916 12.5438551488675 0.000397511337072329 0.223682280595491 Kifc2 6545.25 1509.61049540141 0.0273844482175956
ENSMUSG00000025780 0.601372599761583 7.27120823118523 12.4041823196324 0.0004283733429853 0.223682280595491 Itih5 4289.125 1342.49182047545 -0.945894034247127
ENSMUSG00000061740 0.597087308156627 6.9402858095307 10.1061463024749 0.00147775647205557 0.661401575278584 Cyp2d22 3377.41666666667 1019.09639927462 -1.40761424391759
ENSMUSG00000024164 0.996147803386923 6.79955980267742 9.49684901315166 0.00205825059842449 0.697557638667872 C3 3063.875 1921.69004677382 -0.495118754558162
ENSMUSG00000053702 0.258683891842015 7.85772292622665 9.40009239672987 0.00216974507995299 0.697557638667872 Nebl 6505.04166666667 812.739354933653 -1.01030227669075
ENSMUSG00000027479 0.325223400080485 7.90149929657437 9.08731424028875 0.00257388575406844 0.697557638667872 Mapre1 6672.625 1077.45641745814 -0.824317548038926
ENSMUSG00000030102 -0.733577518932763 7.26426192250322 8.62090101314563 0.00332327419909822 0.697557638667872 Itpr1 4514.16666666667 4589.59299764783 15.0217678810463
ENSMUSG00000024998 0.471580786047693 6.75892214007839 8.54325982354171 0.00346803987714539 0.697557638667872 Plce1 3013.625 698.439926924098 -0.35142044614669
ENSMUSG00000038855 0.472707396917982 8.58410863823465 8.4639572875044 0.00362252856951873 0.697557638667872 Itpkb 10649.2916666667 2873.97943291129 -0.436478872790927
ENSMUSG00000031596 0.433714087432692 7.17347629486283 8.4216347191464 0.00370782275745055 0.697557638667872 Slc7a2 4001.83333333333 941.740002274544 -1.05803894216905
ENSMUSG00000031647 0.422872027554587 7.45157260629489 8.40028785976163 0.00375161597346784 0.697557638667872 Mfap3l 4869.625 1188.50409494274 -0.417062549944115
ENSMUSG00000071533 0.309222602492777 7.09103630687599 8.32064435926509 0.00391970130024242 0.697557638667872 Pcnp 3808.04166666667 537.9168740668 0.481260931926769
ENSMUSG00000053279 0.522809991722995 8.27522354692288 8.29033869761591 0.00398565542055935 0.697557638667872 Aldh1a1 8644.45833333333 2582.97903472726 -0.499343483953001
ENSMUSG00000066357 -0.246456417061497 8.22909958062247 8.25803177950494 0.0040572091956031 0.697557638667872 Wdr6 8474.375 1556.04073414045 0.774364013813335
ENSMUSG00000031700 0.323974065416498 7.25874211331004 8.18220925109727 0.00423032082179686 0.697557638667872 Gpt2 4276.08333333333 733.814093070177 -0.867912965289809
ENSMUSG00000020932 0.928234017165596 12.0414240191398 8.01383944400504 0.00464212132427868 0.727188305448255 Gfap 115427.041666667 62748.687390726 -0.802062871243402
ENSMUSG00000043419 -0.306154269320895 8.2754477521532 7.65746395837544 0.00565379221421431 0.7684584448122 Chd3os 8790.08333333333 2324.89232881433 0.499095261147379
ENSMUSG00000018470 -0.323888818818427 7.18192934613147 7.58307303703836 0.00589189116732491 0.7684584448122 Kcnab3 4141.79166666667 1229.68684522477 -0.703728265793182
ENSMUSG00000041120 0.730221285263204 6.64905579056128 7.5515789534915 0.00599575151359887 0.7684584448122 Nbl1 2791.125 1339.76433075244 -1.09764215761669
ENSMUSG00000030516 0.238121891974736 7.599923721278 7.54867502532162 0.00600542158349054 0.7684584448122 Tjp1 5448.66666666667 722.889411631735 -0.676959898351178
ENSMUSG00000022474 -0.403577320251958 6.88139342029012 7.25439104556873 0.00707278516208553 0.7684584448122 Pmm1 3385.29166666667 1341.2934211673 1.09557497551671
ENSMUSG00000038555 -0.26525527172363 6.9985202351643 7.2177714113372 0.00721852737787723 0.7684584448122 Reep2 3639.54166666667 863.624766503856 0.492680353396051
ENSMUSG00000059336 0.707403925619238 6.56824200923573 7.147562430298 0.00750659428712907 0.7684584448122 Slc14a1 2602.79166666667 1169.43483113655 -0.952497924275774
ENSMUSG00000042129 0.276500132461923 7.07352991528928 7.14065421887267 0.00753556629191245 0.7684584448122 Rassf4 3769.625 545.724234588671 -0.192483868114665
ENSMUSG00000090223 -0.711547942729841 6.86076282432984 7.13613293801407 0.00755458972786354 0.7684584448122 Pcp4 3350.75 2520.34383868896 3.59309173079878
ENSMUSG00000031207 0.416937931379416 7.47548330937719 7.1106314246217 0.00766281135330619 0.7684584448122 Msn 4930.91666666667 1231.28352672665 -0.698703908123212
ENSMUSG00000021756 0.282895860259 8.47118749746466 7.05772963647573 0.00789239573633034 0.7684584448122 Il6st 9934.58333333333 1567.39320880706 -0.697485544229178
ENSMUSG00000002332 0.553739342998326 7.0873219631416 6.97798164939104 0.00825186214464887 0.7684584448122 Dhrs1 3749.29166666667 1435.34987339602 -0.459243788783673
ENSMUSG00000042613 0.407318410611784 7.65904200557498 6.96726501966103 0.00830142826994216 0.7684584448122 Pbxip1 5599.70833333333 1439.52463407246 -0.249598036780493
ENSMUSG00000041559 1.16068321658627 6.3803567140936 6.89195095271529 0.00865847186491788 0.7684584448122 Fmod 2286.875 1698.22355553243 -0.830372581374763
ENSMUSG00000020949 -0.452948275232157 6.81992914128497 6.86093273017138 0.00881005490313074 0.7684584448122 Fkbp3 3258.54166666667 1462.26991439208 0.521866312054213
ENSMUSG00000022425 -0.66436940629921 9.24952355953897 6.81044745920269 0.00906260525322802 0.7684584448122 Enpp2 17883.875 13895.7485406665 5.16612228444999
ENSMUSG00000067279 0.330263338449042 6.90797421618838 6.76929649188492 0.00927393847374453 0.7684584448122 Ppp1r3c 3348.91666666667 587.430063675792 -0.298139836013374
ENSMUSG00000006576 -0.225420721148966 7.71436983859481 6.68679201617454 0.00971298333320036 0.7684584448122 Slc4a3 5974.83333333333 1368.61595167834 0.0734643845947573
ENSMUSG00000034891 -0.284884389306215 8.48146014100415 6.58717871916488 0.0102715826016009 0.7684584448122 Sncb 10225.7083333333 3147.00822009076 0.818186387595315
ENSMUSG00000025743 0.285645618358094 9.1462464922842 6.53838730960415 0.0105571009252804 0.7684584448122 Sdc3 15829.6666666667 2048.55494491089 0.316933236814981
ENSMUSG00000026701 0.634368423452654 9.57225316711522 6.53586434478716 0.0105720842792813 0.7684584448122 Prdx6 20837.25 9197.37519858129 -0.62840795483606
ENSMUSG00000023087 0.406399710271113 8.35465682592421 6.50831258014882 0.0107371349743453 0.7684584448122 Ccrn4l 9087.08333333333 2208.0890206666 -0.836425544536976
ENSMUSG00000027339 0.283606943440517 7.85995108365094 6.50468769372907 0.0107590459782525 0.7684584448122 Rassf2 6482.70833333333 968.104803847127 1.61251789271446
ENSMUSG00000024816 0.421333500401002 6.80381512165412 6.35517474784777 0.0117039415023638 0.7684584448122 Frmd8 3097.95833333333 699.198701568704 -0.619519540330179
ENSMUSG00000025085 -0.279605379531981 7.6326185068847 6.3113148318894 0.0119969837205227 0.7684584448122 Ablim1 5649.41666666667 1653.35469028399 0.950662025759136
ENSMUSG00000002602 0.399457197701826 7.16336717724029 6.30061173265031 0.0120696314578906 0.7684584448122 Axl 3972.79166666667 1031.67744281558 -0.485656343376526
ENSMUSG00000054013 -0.229024484347632 7.40872846452148 6.25025278566469 0.0124175584202372 0.7684584448122 Tmem179 4810.83333333333 935.787399985175 -0.839015942038649
ENSMUSG00000033530 -0.223701349656092 7.22851295611973 6.23516840387004 0.0125237683294534 0.7684584448122 Ttc7b 4269.16666666667 964.910028095283 -0.136434829912418
ENSMUSG00000053931 0.434364973003089 8.39774866333351 6.20173736121649 0.0127624977816604 0.7684584448122 Cnn3 9299.16666666667 2668.85151437788 -0.76468912878393
ENSMUSG00000061576 -0.285348137163498 8.28801649872974 6.18521360171621 0.0128822151985802 0.7684584448122 Dpp6 8954.75 2761.90163301208 -0.106620417139242
ENSMUSG00000021124 -0.280240915227211 7.0255629985839 6.15795143918892 0.0130822634217429 0.7684584448122 Vti1b 3709.45833333333 1029.60663569898 0.405255753878007
ENSMUSG00000026728 0.817255448153073 8.1792634750736 6.12116342585873 0.013357286104931 0.7684584448122 Vim 7852.54166666667 4982.24434304868 -0.973792978457942
ENSMUSG00000017009 0.404094977599986 7.80750839539406 6.08506693286651 0.0136329202210433 0.7684584448122 Sdc4 6194.54166666667 1655.69622763006 -1.11691517085506
